assigned_unit_id,state,district,case_count,approved,pending,rejected,approval_rate_pct,pending_rate_pct,rejection_rate_pct,synthetic_center_lat,synthetic_center_lon,allocation_basis
FRA-AS-002,Assam,Assam FRA Monitoring Unit 02,75,44,18,13,58.7,24.0,17.3,27.146185,91.424602,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-003,Assam,Assam FRA Monitoring Unit 03,73,38,17,18,52.1,23.3,24.7,27.060122,91.32802,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-004,Assam,Assam FRA Monitoring Unit 04,40,25,8,7,62.5,20.0,17.5,24.65656,93.928354,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-005,Assam,Assam FRA Monitoring Unit 05,133,76,34,23,57.1,25.6,17.3,26.0799,91.86677,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-006,Assam,Assam FRA Monitoring Unit 06,59,28,17,14,47.5,28.8,23.7,25.224591,94.548723,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-007,Assam,Assam FRA Monitoring Unit 07,145,86,35,24,59.3,24.1,16.6,26.630113,92.902,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-008,Assam,Assam FRA Monitoring Unit 08,225,128,65,32,56.9,28.9,14.2,27.378948,92.086337,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-009,Assam,Assam FRA Monitoring Unit 09,144,79,36,29,54.9,25.0,20.1,26.67836,91.706143,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-010,Assam,Assam FRA Monitoring Unit 10,37,18,8,11,48.6,21.6,29.7,27.317971,91.112215,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-011,Assam,Assam FRA Monitoring Unit 11,40,18,11,11,45.0,27.5,27.5,24.732559,92.520127,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-012,Assam,Assam FRA Monitoring Unit 12,48,24,12,12,50.0,25.0,25.0,25.858483,95.078577,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-013,Assam,Assam FRA Monitoring Unit 13,114,63,32,19,55.3,28.1,16.7,26.242037,92.6375,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-014,Assam,Assam FRA Monitoring Unit 14,117,67,37,13,57.3,31.6,11.1,25.8595,94.272224,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-015,Assam,Assam FRA Monitoring Unit 15,39,23,10,6,59.0,25.6,15.4,24.81325,93.440429,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-016,Assam,Assam FRA Monitoring Unit 16,98,50,29,19,51.0,29.6,19.4,25.50084,95.044274,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-017,Assam,Assam FRA Monitoring Unit 17,56,29,12,15,51.8,21.4,26.8,25.044717,92.256508,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-018,Assam,Assam FRA Monitoring Unit 18,76,38,25,13,50.0,32.9,17.1,26.954394,94.014677,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-019,Assam,Assam FRA Monitoring Unit 19,90,45,23,22,50.0,25.6,24.4,25.827085,90.916388,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-020,Assam,Assam FRA Monitoring Unit 20,74,41,19,14,55.4,25.7,18.9,26.840525,94.867643,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-021,Assam,Assam FRA Monitoring Unit 21,101,59,25,17,58.4,24.8,16.8,24.857214,94.417955,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-022,Assam,Assam FRA Monitoring Unit 22,81,47,20,14,58.0,24.7,17.3,25.833582,91.120322,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-023,Assam,Assam FRA Monitoring Unit 23,102,51,31,20,50.0,30.4,19.6,26.527133,93.761957,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-024,Assam,Assam FRA Monitoring Unit 24,41,21,15,5,51.2,36.6,12.2,25.080234,94.775082,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-025,Assam,Assam FRA Monitoring Unit 25,129,68,38,23,52.7,29.5,17.8,26.954862,93.708957,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-026,Assam,Assam FRA Monitoring Unit 26,61,38,10,13,62.3,16.4,21.3,26.927735,92.352029,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-AS-027,Assam,Assam FRA Monitoring Unit 27,138,85,33,20,61.6,23.9,14.5,26.179017,94.796554,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-001,Bihar,Bihar FRA Monitoring Unit 01,60,34,18,8,56.7,30.0,13.3,26.692079,85.813019,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-002,Bihar,Bihar FRA Monitoring Unit 02,38,26,5,7,68.4,13.2,18.4,25.630936,84.910582,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-003,Bihar,Bihar FRA Monitoring Unit 03,68,42,14,12,61.8,20.6,17.6,26.759319,87.039169,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-004,Bihar,Bihar FRA Monitoring Unit 04,50,29,13,8,58.0,26.0,16.0,25.227486,84.601312,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-005,Bihar,Bihar FRA Monitoring Unit 05,102,63,22,17,61.8,21.6,16.7,24.86586,84.082304,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-006,Bihar,Bihar FRA Monitoring Unit 06,75,44,23,8,58.7,30.7,10.7,25.427589,85.399184,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-007,Bihar,Bihar FRA Monitoring Unit 07,52,35,10,7,67.3,19.2,13.5,24.994499,85.8468,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-008,Bihar,Bihar FRA Monitoring Unit 08,58,34,13,11,58.6,22.4,19.0,26.092736,85.870954,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-009,Bihar,Bihar FRA Monitoring Unit 09,80,46,20,14,57.5,25.0,17.5,25.18067,86.72078,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-BR-010,Bihar,Bihar FRA Monitoring Unit 10,42,24,12,6,57.1,28.6,14.3,25.222363,87.506353,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-001,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 01,85,54,17,14,63.5,20.0,16.5,21.880393,83.762338,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-002,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 02,33,20,7,6,60.6,21.2,18.2,22.503119,82.559328,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-003,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 03,80,38,26,16,47.5,32.5,20.0,22.167793,80.880327,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-004,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 04,58,30,15,13,51.7,25.9,22.4,22.089942,82.765853,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-005,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 05,61,34,17,10,55.7,27.9,16.4,21.953303,82.268392,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-006,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 06,154,85,41,28,55.2,26.6,18.2,19.78726,82.421082,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-007,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 07,120,68,31,21,56.7,25.8,17.5,21.882941,83.134887,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-008,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 08,54,33,11,10,61.1,20.4,18.5,20.677189,82.51529,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-009,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 09,97,59,28,10,60.8,28.9,10.3,19.131792,81.645499,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-010,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 10,129,78,35,16,60.5,27.1,12.4,20.015659,81.457117,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-011,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 11,72,45,19,8,62.5,26.4,11.1,22.980123,82.502945,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-012,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 12,57,35,15,7,61.4,26.3,12.3,19.872376,83.245273,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-013,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 13,90,51,16,23,56.7,17.8,25.6,20.994256,83.294812,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-014,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 14,126,68,37,21,54.0,29.4,16.7,19.538357,81.555478,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-015,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 15,60,31,13,16,51.7,21.7,26.7,20.843994,81.857487,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-016,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 16,104,55,26,23,52.9,25.0,22.1,20.733932,83.246523,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-017,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 17,71,41,18,12,57.7,25.4,16.9,19.600607,81.800932,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-018,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 18,99,59,19,21,59.6,19.2,21.2,20.70529,83.166006,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-019,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 19,85,44,26,15,51.8,30.6,17.6,21.199803,83.403201,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-020,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 20,92,58,24,10,63.0,26.1,10.9,20.859226,83.382211,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-021,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 21,153,82,48,23,53.6,31.4,15.0,21.140198,82.379991,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-022,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 22,134,81,25,28,60.4,18.7,20.9,20.433223,82.848111,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-023,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 23,130,70,30,30,53.8,23.1,23.1,20.961673,83.841962,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-024,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 24,147,78,35,34,53.1,23.8,23.1,19.319262,82.79205,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-025,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 25,116,69,24,23,59.5,20.7,19.8,22.589376,81.858326,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-026,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 26,107,72,21,14,67.3,19.6,13.1,21.412564,81.411031,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-027,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 27,65,44,12,9,67.7,18.5,13.8,22.649583,82.877338,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-028,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 28,95,54,23,18,56.8,24.2,18.9,20.617892,83.545122,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-029,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 29,168,97,44,27,57.7,26.2,16.1,19.23025,81.835714,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-030,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 30,91,52,25,14,57.1,27.5,15.4,19.30313,82.858052,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-031,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 31,113,64,29,20,56.6,25.7,17.7,21.017744,81.625034,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-CG-032,Chhattisgarh,Chhattisgarh FRA Monitoring Unit 32,98,52,28,18,53.1,28.6,18.4,22.160563,83.716755,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-001,Gujarat,Gujarat FRA Monitoring Unit 01,202,120,43,39,59.4,21.3,19.3,22.246684,73.09752,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-002,Gujarat,Gujarat FRA Monitoring Unit 02,40,24,9,7,60.0,22.5,17.5,21.367766,69.882148,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-003,Gujarat,Gujarat FRA Monitoring Unit 03,121,75,29,17,62.0,24.0,14.0,22.944201,69.44752,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-004,Gujarat,Gujarat FRA Monitoring Unit 04,84,49,20,15,58.3,23.8,17.9,21.663523,73.091286,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-005,Gujarat,Gujarat FRA Monitoring Unit 05,53,27,12,14,50.9,22.6,26.4,21.441751,69.201219,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-006,Gujarat,Gujarat FRA Monitoring Unit 06,145,76,34,35,52.4,23.4,24.1,21.13322,73.515789,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-007,Gujarat,Gujarat FRA Monitoring Unit 07,79,45,21,13,57.0,26.6,16.5,22.707161,72.109496,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-008,Gujarat,Gujarat FRA Monitoring Unit 08,106,60,30,16,56.6,28.3,15.1,21.97516,69.779554,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-009,Gujarat,Gujarat FRA Monitoring Unit 09,91,43,33,15,47.3,36.3,16.5,23.720584,69.106913,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-010,Gujarat,Gujarat FRA Monitoring Unit 10,59,33,16,10,55.9,27.1,16.9,21.213072,70.087416,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-011,Gujarat,Gujarat FRA Monitoring Unit 11,180,108,50,22,60.0,27.8,12.2,21.61379,69.533118,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-012,Gujarat,Gujarat FRA Monitoring Unit 12,107,53,29,25,49.5,27.1,23.4,21.549914,72.825122,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-013,Gujarat,Gujarat FRA Monitoring Unit 13,97,57,23,17,58.8,23.7,17.5,21.407911,71.660362,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-014,Gujarat,Gujarat FRA Monitoring Unit 14,100,55,28,17,55.0,28.0,17.0,23.468864,69.382721,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-GJ-015,Gujarat,Gujarat FRA Monitoring Unit 15,84,57,19,8,67.9,22.6,9.5,23.405291,69.750883,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-001,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 01,82,51,20,11,62.2,24.4,13.4,32.57352,77.028328,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-002,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 02,119,64,37,18,53.8,31.1,15.1,30.78563,77.504053,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-003,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 03,80,46,17,17,57.5,21.2,21.2,31.676742,77.340104,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-004,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 04,81,48,15,18,59.3,18.5,22.2,31.679293,77.226925,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-005,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 05,86,51,23,12,59.3,26.7,14.0,32.669763,77.372014,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-006,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 06,49,27,11,11,55.1,22.4,22.4,31.987247,76.481629,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-007,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 07,67,40,16,11,59.7,23.9,16.4,31.027516,77.211106,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-008,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 08,101,64,21,16,63.4,20.8,15.8,31.019454,76.13283,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-009,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 09,53,27,19,7,50.9,35.8,13.2,30.812389,78.427715,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-010,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 10,48,25,14,9,52.1,29.2,18.8,31.883967,77.892766,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-011,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 11,62,40,13,9,64.5,21.0,14.5,31.80993,77.525316,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-012,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 12,67,42,12,13,62.7,17.9,19.4,32.196485,78.294816,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-HP-013,Himachal Pradesh,Himachal Pradesh FRA Monitoring Unit 13,87,56,15,16,64.4,17.2,18.4,32.279034,78.297282,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-001,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 01,79,49,14,16,62.0,17.7,20.3,32.957821,76.405617,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-002,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 02,75,43,19,13,57.3,25.3,17.3,33.433898,75.4936,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-003,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 03,34,18,11,5,52.9,32.4,14.7,34.471086,75.445393,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-004,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 04,68,41,15,12,60.3,22.1,17.6,33.997511,75.264916,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-005,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 05,133,90,28,15,67.7,21.1,11.3,34.440741,74.992791,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-006,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 06,46,18,18,10,39.1,39.1,21.7,33.106027,75.101952,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-007,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 07,71,43,19,9,60.6,26.8,12.7,33.604407,74.35828,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-008,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 08,38,22,8,8,57.9,21.1,21.1,33.576064,74.323678,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-009,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 09,58,33,13,12,56.9,22.4,20.7,33.529753,74.61788,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-010,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 10,67,35,18,14,52.2,26.9,20.9,34.039566,74.274037,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-011,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 11,90,48,26,16,53.3,28.9,17.8,34.158356,75.612696,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-012,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 12,132,71,37,24,53.8,28.0,18.2,32.843772,76.158403,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-013,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 13,44,24,15,5,54.5,34.1,11.4,33.877838,75.778575,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-014,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 14,91,59,19,13,64.8,20.9,14.3,34.578652,74.581538,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-015,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 15,100,57,26,17,57.0,26.0,17.0,33.438131,74.541318,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-016,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 16,61,37,15,9,60.7,24.6,14.8,33.20918,74.227304,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-017,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 17,87,46,20,21,52.9,23.0,24.1,33.730007,76.329293,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-018,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 18,63,31,15,17,49.2,23.8,27.0,34.150588,75.76963,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-019,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 19,59,34,14,11,57.6,23.7,18.6,33.266343,75.243091,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-020,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 20,85,50,21,14,58.8,24.7,16.5,33.715148,74.501811,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
FRA-JK-021,Jammu and Kashmir,Jammu and Kashmir FRA Monitoring Unit 21,33,17,11,5,51.5,33.3,15.2,34.184691,74.680668,Synthetic 443-unit demo allocation scaled from June 2025 local FRA-cell state shares
