claim_id,state,district,village,latitude,longitude,claim_geometry_id,claim_type,rights_subtype,submission_date,current_stage,last_updated_date,status,gram_sabha_date,sdlc_date,dlc_date,decision_date,pending_reason,gram_sabha_recommendation,sdlc_recommendation,remand_count,last_remand_reason,evidence_types,rejection_reason,appeal_status,appeal_date,claimed_area_ha,forest_record_area_ha,revenue_record_area_ha,forest_overlap_pct,protected_area_type,protected_area_overlap_pct,cfr_map_available,gram_sabha_resolution_date,assigned_unit_id,verification_visit_count,applicant_hash,estimated_eligible_households,forest_dependent_households,village_forest_area_ha,title_copy_delivered_date,linked_schemes
FRA-0000013,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.173417,79.981093,GEO-0000013,Individual,IFR,2025-03-23,SDLC,2026-07-10,Pending,2025-04-09,2025-08-24,,,Additional evidence requested,Not Recommended,Not Recommended,0,,Gram Sabha testimony; Community testimony; Revenue record,,Not Applicable,,0.39,0.4,0.39,87.3,,,,,FRA-AP-001,1,71EFE7743D48,519,273,3078.8,,
FRA-0000014,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-07,14.403822,80.26745,GEO-0000014,Individual,IFR,2026-02-05,SDLC,2026-08-26,Pending,2026-04-13,2026-08-26,,,Awaiting SDLC meeting,Not Recommended,Needs Review,0,,Satellite imagery; Revenue record; Community testimony; Forest record,,Not Applicable,,1.48,1.45,1.47,91.5,,,,,FRA-AP-001,2,BB6A95F8C318,346,247,429.7,,
FRA-0000015,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-02,14.051916,79.986941,GEO-0000015,Individual,IFR,2026-02-21,Title Issued,2026-08-12,Approved,2026-03-19,2026-06-23,2026-07-28,2026-08-03,,Recommended,Recommended,0,,Government map; Legacy residence/cultivation record; Revenue record,,Not Applicable,,3.05,3.28,2.95,80.8,,,,,FRA-AP-001,1,56356E5206E8,608,255,573.2,2026-09-04,PMAY-G
FRA-0000016,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-02,14.05997,79.980443,GEO-0000016,Individual,IFR,2024-04-30,DLC,2026-07-14,Pending,2024-07-31,2024-12-20,,,Awaiting DLC decision,Recommended,Recommended,1,Boundary re-verification,Revenue record; Government map,,Not Applicable,,1.88,1.83,1.97,81.4,,,,,FRA-AP-001,2,409EB35BE87C,608,255,573.2,,
FRA-0000017,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.170074,79.96718,GEO-0000017,Individual,IFR,2023-04-30,Field Verification,2026-08-15,Pending,2023-07-31,2023-12-13,,,Awaiting Gram Sabha verification,Needs Review,Recommended,0,,Revenue record; Satellite imagery,,Not Applicable,,0.92,0.99,0.97,68.5,,,,,FRA-AP-001,1,CE70035F2364,519,273,3078.8,,
FRA-0000018,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-12,14.133633,80.33513,GEO-0000018,Individual,IFR,2025-01-04,Field Verification,2026-08-19,Pending,2025-02-18,2025-03-21,,,Boundary verification pending,Recommended,Recommended,0,,Physical boundary markers,,Not Applicable,,2.41,2.29,2.31,83.8,,,,,FRA-AP-001,1,62D669B17DA3,358,244,3826.1,,
FRA-0000019,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-12,14.123197,80.336787,GEO-0000019,Individual,IFR,2026-06-05,DLC,2026-08-22,Pending,2026-06-23,2026-08-03,,,Land record reconciliation,Recommended,Recommended,0,,Government map; Gram Sabha testimony; Satellite imagery; Revenue record,,Not Applicable,,1.77,1.76,1.66,90.9,,,,,FRA-AP-001,1,9A1449A28CEC,358,244,3826.1,,
FRA-0000020,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-04,14.118833,80.079169,GEO-0000020,Individual,IFR,2025-10-25,Title Issued,2026-07-09,Approved,2026-01-21,2026-04-15,2026-06-12,2026-06-16,,Not Recommended,Needs Review,0,,Gram Sabha testimony,,Not Applicable,,1.76,1.75,1.66,100.0,,,,,FRA-AP-001,2,796A9A52CEBF,196,161,343.5,2026-08-10,PDS convergence
FRA-0000021,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-01,14.252192,80.428542,GEO-0000021,Community,Grazing Rights,2021-12-18,DLC Decision,2022-10-22,Rejected,2022-01-13,2022-04-29,2022-10-09,2022-10-15,,Recommended,Needs Review,0,,Forest record; Revenue record; Community testimony,Insufficient evidence,Not Appealed,,134.08,119.39,143.69,79.7,,,,,FRA-AP-001,2,9E0F8EDDAD46,709,354,653.6,,
FRA-0000022,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-01,14.249022,80.430934,GEO-0000022,Individual,IFR,2026-03-18,DLC Decision,2026-09-04,Rejected,2026-05-04,2026-05-25,2026-08-18,2026-08-26,,Recommended,Recommended,0,,Forest record; Government map; Physical boundary markers; Revenue record,Procedural deficiency,Not Appealed,,2.27,2.46,2.28,81.6,,,,,FRA-AP-001,2,CEA3A6A42EA9,709,354,653.6,,
FRA-0000023,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-01,14.242175,80.408939,GEO-0000023,Individual,IFR,2026-04-19,Title Issued,2026-08-27,Approved,2026-05-11,2026-05-27,2026-08-21,2026-08-21,,Recommended,Not Recommended,0,,Revenue record; Community testimony; Satellite imagery,,Not Applicable,,2.87,2.83,2.98,91.3,,,,,FRA-AP-001,2,555906FF2BDE,709,354,653.6,2026-09-04,MGNREGA; PDS convergence
FRA-0000024,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-06,14.213778,79.928039,GEO-0000024,Individual,IFR,2024-10-03,Title Issued,2025-03-23,Approved,2024-12-11,2025-01-24,2025-02-23,2025-02-25,,Recommended,Needs Review,0,,Legacy residence/cultivation record; Gram Sabha testimony,,Not Applicable,,0.56,0.49,0.51,65.7,Wildlife Sanctuary,74.5,,,FRA-AP-001,3,42AF9A8898E3,460,198,2060.2,,NRLM; PMAY-G; Tribal Livelihood Support
FRA-0000025,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-14,14.359808,80.10874,GEO-0000025,Individual,IFR,2024-01-29,DLC,2026-07-07,Pending,2024-03-08,2024-06-24,,,Land record reconciliation,Recommended,Recommended,0,,Legacy residence/cultivation record; Physical boundary markers,,Not Applicable,,0.94,1.05,0.87,79.1,,,,,FRA-AP-001,2,DCE0EFF6459D,116,78,829.0,,
FRA-0000026,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.173794,79.974491,GEO-0000026,Individual,IFR,2024-12-20,DLC Decision,2025-07-26,Rejected,2025-01-01,2025-02-03,2025-06-23,2025-07-13,,Needs Review,Not Recommended,1,Boundary re-verification,Forest record,Overlapping/duplicate claim,Not Appealed,,0.82,0.8,0.84,98.9,,,,,FRA-AP-001,2,308454EAF053,519,273,3078.8,,
FRA-0000027,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-02,14.04769,79.960963,GEO-0000027,Individual,IFR,2026-04-26,Title Issued,2026-09-04,Approved,2026-06-16,2026-08-22,2026-08-31,2026-09-04,,Recommended,Recommended,0,,Legacy residence/cultivation record; Gram Sabha testimony; Satellite imagery,,Allowed,2026-06-02,1.33,1.49,1.26,92.9,,,,,FRA-AP-001,2,459897485DC2,608,255,573.2,2026-09-04,NRLM; Tribal Livelihood Support
FRA-0000028,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-06,14.240719,79.928217,GEO-0000028,Individual,IFR,2023-09-01,Title Issued,2024-07-06,Approved,2023-09-10,2023-12-21,2024-05-16,2024-05-31,,Recommended,Recommended,0,,Legacy residence/cultivation record; Satellite imagery; Community testimony,,Not Applicable,,1.58,1.48,1.64,65.2,,,,,FRA-AP-001,4,A61EBBA225A4,460,198,2060.2,2024-07-06,Tribal Livelihood Support
FRA-0000029,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-03,14.144505,79.966242,GEO-0000029,Individual,IFR,2026-06-27,DLC,2026-08-24,Pending,2026-07-10,2026-08-03,,,Awaiting DLC decision,Recommended,Recommended,3,Gram Sabha reconsideration,Gram Sabha testimony,,Not Applicable,,1.08,1.04,1.15,87.6,,,,,FRA-AP-001,2,4003C0D44195,208,186,3092.9,,
FRA-0000030,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-08,14.046061,80.008492,GEO-0000030,Individual,IFR,2026-04-04,Title Issued,2026-09-04,Approved,2026-04-25,2026-07-18,2026-08-09,2026-08-26,,Recommended,Recommended,0,,Satellite imagery; Revenue record; Physical boundary markers; Legacy residence/cultivation record,,Not Applicable,,1.11,1.04,1.19,80.9,,,,,FRA-AP-001,2,239354987DBE,238,164,1087.1,2026-09-04,Tribal Livelihood Support
FRA-0000031,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-10,14.223375,80.329297,GEO-0000031,Individual,IFR,2025-08-15,Title Issued,2026-08-11,Approved,2025-10-07,2026-02-23,2026-07-07,2026-08-06,,Recommended,Recommended,0,,Satellite imagery; Revenue record; Forest record,,Not Applicable,,1.53,1.48,1.65,82.2,,,,,FRA-AP-001,2,277167B97ABB,163,51,594.0,2026-09-04,
FRA-0000032,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-12,14.114198,80.330394,GEO-0000032,Community,Community Forest Resource,2025-07-18,Title Issued,2026-02-13,Approved,2025-08-20,2025-10-07,2026-01-02,2026-01-09,,Recommended,Recommended,0,,Community testimony; Gram Sabha testimony; Government map; Revenue record; Legacy residence/cultivation record,,Not Applicable,,262.45,280.39,268.97,84.3,,,Yes,2025-09-16,FRA-AP-001,2,8A189D86E38E,358,244,3826.1,2026-01-25,PMAY-G
FRA-0000033,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-04,14.122014,80.073056,GEO-0000033,Individual,IFR,2024-07-23,DLC Decision,2025-03-04,Rejected,2024-10-25,2025-02-03,2025-03-01,2025-03-04,,Recommended,Not Recommended,0,,Government map; Legacy residence/cultivation record; Gram Sabha testimony,Insufficient evidence,Disposed - Rejection Upheld,2025-05-19,1.57,1.06,1.71,46.0,,,,,FRA-AP-001,2,FC5394536A16,196,161,343.5,,
FRA-0000034,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-07,14.383065,80.275528,GEO-0000034,Individual,IFR,2026-07-29,Field Verification,2026-08-29,Pending,2026-08-29,,,,Additional evidence requested,Needs Review,Pending,2,Procedural correction,Forest record; Community testimony,,Not Applicable,,1.9,2.04,1.72,98.1,,,,,FRA-AP-001,1,1CDB974E1F32,346,247,429.7,,
FRA-0000035,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.140566,79.96497,GEO-0000035,Individual,IFR,2024-06-29,DLC Decision,2025-03-14,Rejected,2024-07-31,2024-10-30,2025-02-07,2025-02-24,,Recommended,Recommended,0,,Community testimony; Gram Sabha testimony; Satellite imagery,Procedural deficiency,Not Appealed,,0.87,1.4,0.82,54.0,,,,,FRA-AP-001,2,B2FE6C19ABB0,519,273,3078.8,,
FRA-0000036,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-03,14.140873,79.962299,GEO-0000036,Individual,IFR,2022-07-30,DLC Decision,2023-07-29,Rejected,2022-08-12,2022-12-28,2023-06-06,2023-06-27,,Not Recommended,Needs Review,2,Procedural correction,Government map,Overlapping/duplicate claim,Not Appealed,,4.0,3.61,4.37,91.2,,,,,FRA-AP-001,1,535A26F3B862,208,186,3092.9,,
FRA-0000037,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-14,14.34197,80.091096,GEO-0000037,Individual,IFR,2022-12-03,DLC Decision,2023-07-27,Rejected,2023-03-07,2023-05-11,2023-06-08,2023-06-21,,Recommended,Recommended,1,Boundary re-verification,Revenue record; Government map,Overlapping/duplicate claim,Not Appealed,,1.22,1.15,1.29,34.0,,,,,FRA-AP-001,4,4C6395B78C1C,116,78,829.0,,
FRA-0000038,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-03,14.145772,79.961259,GEO-0000038,Individual,IFR,2024-03-08,Field Verification,2026-08-07,Pending,2024-04-22,2024-06-16,,,Additional evidence requested,Not Recommended,Needs Review,0,,Physical boundary markers; Revenue record,,Not Applicable,,1.12,1.16,1.15,77.8,,,,,FRA-AP-001,2,EA0555A93453,208,186,3092.9,,
FRA-0000039,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-05,14.189025,80.240522,GEO-0000039,Community,Community Forest Resource,2025-09-16,SDLC,2026-08-11,Pending,2025-09-23,2026-01-05,,,Awaiting Gram Sabha verification,Recommended,Needs Review,0,,Community testimony; Satellite imagery; Forest record,,Not Applicable,,490.24,492.64,504.07,43.4,,,Yes,2025-10-04,FRA-AP-001,2,57BACD1E5E40,322,229,854.4,,
FRA-0000040,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-13,14.476432,80.117968,GEO-0000040,Individual,IFR,2025-12-15,DLC Decision,2026-09-04,Rejected,2026-02-07,2026-05-01,2026-07-28,2026-08-24,,Recommended,Recommended,1,Boundary re-verification,Forest record; Revenue record; Physical boundary markers,Procedural deficiency,Not Appealed,,1.14,1.01,1.03,81.1,National Park,10.0,,,FRA-AP-001,2,B512251C9BFE,281,159,1733.9,,
FRA-0000041,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-05,14.183415,80.215115,GEO-0000041,Individual,IFR,2024-09-23,Field Verification,2026-08-03,Pending,2024-11-07,2024-11-23,,,Awaiting SDLC meeting,Recommended,Recommended,1,Additional evidence requested,Legacy residence/cultivation record; Satellite imagery; Community testimony,,Not Applicable,,0.88,0.98,0.82,100.0,,,,,FRA-AP-001,4,FD7A463C129C,322,229,854.4,,
FRA-0000042,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-07,14.392979,80.258318,GEO-0000042,Individual,IFR,2024-10-17,Title Issued,2025-08-26,Approved,2025-01-12,2025-04-13,2025-07-06,2025-07-19,,Needs Review,Recommended,0,,Community testimony; Revenue record,,Not Applicable,,1.17,1.2,1.12,81.1,,,,,FRA-AP-001,2,01E90CAD0077,346,247,429.7,2025-09-23,PMAY-G
FRA-0000043,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-12,14.105806,80.317887,GEO-0000043,Individual,IFR,2026-03-16,Title Issued,2026-09-04,Approved,2026-06-19,2026-08-04,2026-08-26,2026-08-27,,Recommended,Recommended,0,,Gram Sabha testimony; Revenue record; Government map,,Not Applicable,,1.7,2.3,1.77,96.6,,,,,FRA-AP-001,1,B3FC26CDA05B,358,244,3826.1,2026-09-04,
FRA-0000044,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-12,14.109125,80.334475,GEO-0000044,Individual,IFR,2024-08-21,Title Issued,2025-01-30,Approved,2024-10-07,2024-11-16,2024-12-12,2025-01-09,,Recommended,Recommended,0,,Forest record; Community testimony; Satellite imagery,,Not Applicable,,1.22,2.05,1.27,83.7,,,,,FRA-AP-001,3,1AF48E052FDA,358,244,3826.1,2025-01-18,
FRA-0000045,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-04,14.125641,80.077654,GEO-0000045,Community,Community Forest Resource,2024-11-12,DLC Decision,2025-09-05,Rejected,2024-12-16,2025-05-03,2025-07-23,2025-08-14,,Recommended,Recommended,2,Gram Sabha reconsideration,Revenue record; Satellite imagery; Gram Sabha testimony; Government map,Eligibility period not established,Not Appealed,,207.19,212.64,217.79,77.7,,,Yes,2025-01-01,FRA-AP-001,1,8BD54605039F,196,161,343.5,,
FRA-0000046,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-09,13.948394,80.001829,GEO-0000046,Individual,IFR,2025-08-03,Title Issued,2026-05-19,Approved,2025-09-28,2025-12-17,2026-04-09,2026-05-04,,Recommended,Not Recommended,0,,Community testimony; Physical boundary markers; Gram Sabha testimony; Revenue record,,Not Applicable,,1.14,1.2,1.06,95.1,,,,,FRA-AP-001,2,95B54E79A8AC,244,202,985.6,2026-07-11,
FRA-0000047,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-09,13.951377,80.031744,GEO-0000047,Individual,IFR,2025-09-29,SDLC,2026-07-10,Pending,2025-12-18,2026-04-16,,,Awaiting DLC decision,Recommended,Needs Review,0,,Community testimony; Satellite imagery; Gram Sabha testimony,,Not Applicable,,1.27,1.16,2.01,89.9,,,,,FRA-AP-001,1,12FB230ABC23,244,202,985.6,,
FRA-0000048,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-06,14.244287,79.922085,GEO-0000048,Individual,IFR,2023-01-02,DLC Decision,2023-09-23,Rejected,2023-03-05,2023-03-25,2023-08-21,2023-08-31,,Recommended,Recommended,0,,Gram Sabha testimony; Forest record,Insufficient evidence,Not Appealed,,1.33,1.44,1.32,82.3,,,,,FRA-AP-001,3,448D89949B59,460,198,2060.2,,
FRA-0000049,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-01,14.268152,80.412226,GEO-0000049,Individual,IFR,2022-02-09,Title Issued,2022-09-04,Approved,2022-04-16,2022-05-01,2022-07-08,2022-08-02,,Recommended,Recommended,0,,Legacy residence/cultivation record; Government map,,Not Applicable,,2.88,4.27,2.81,73.1,,,,,FRA-AP-001,4,E73D52A82EB6,709,354,653.6,,NRLM
FRA-0000050,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.140117,79.982395,GEO-0000050,Individual,IFR,2025-12-18,Title Issued,2026-08-03,Approved,2026-03-21,2026-05-08,2026-05-29,2026-06-23,,Recommended,Recommended,0,,Legacy residence/cultivation record; Physical boundary markers; Government map,,Not Applicable,,0.65,0.66,0.64,92.4,Wildlife Sanctuary,83.2,,,FRA-AP-001,3,408928C095A5,519,273,3078.8,2026-09-04,NRLM; Tribal Livelihood Support
FRA-0000051,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-09,13.938768,80.01421,GEO-0000051,Individual,IFR,2025-01-12,Title Issued,2025-12-12,Approved,2025-01-28,2025-05-11,2025-11-05,2025-11-07,,Recommended,Recommended,0,,Satellite imagery; Physical boundary markers; Government map,,Not Applicable,,1.83,1.86,1.65,28.7,,,,,FRA-AP-001,2,530EEE0F6BFA,244,202,985.6,2026-02-15,
FRA-0000052,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-07,14.39851,80.284534,GEO-0000052,Individual,IFR,2024-04-24,Title Issued,2025-01-20,Approved,2024-07-06,2024-10-06,2024-11-21,2024-12-10,,Recommended,Recommended,0,,Community testimony; Revenue record; Physical boundary markers; Satellite imagery,,Not Applicable,,1.26,1.81,1.34,81.6,,,,,FRA-AP-001,1,1A1352543BFF,346,247,429.7,2025-01-24,
FRA-0000053,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-10,14.244544,80.317947,GEO-0000053,Individual,IFR,2026-05-05,Title Issued,2026-09-04,Approved,2026-06-15,2026-08-09,2026-08-31,2026-09-02,,Recommended,Recommended,0,,Revenue record; Forest record; Legacy residence/cultivation record,,Not Applicable,,2.12,3.14,1.93,87.2,,,,,FRA-AP-001,3,700034A38304,163,51,594.0,2026-09-04,PMAY-G
FRA-0000054,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-08,14.054279,80.010878,GEO-0000054,Individual,IFR,2026-05-20,SDLC,2026-08-19,Pending,2026-05-27,2026-06-15,,,Field verification pending,Recommended,Recommended,0,,Forest record; Gram Sabha testimony,,Not Applicable,,2.4,2.24,2.46,96.2,,,,,FRA-AP-001,2,5582C0BD0B51,238,164,1087.1,,
FRA-0000055,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-05,14.166686,80.230884,GEO-0000055,Individual,IFR,2025-05-23,Title Issued,2026-01-30,Approved,2025-08-02,2025-08-17,2026-01-23,2026-01-23,,Recommended,Recommended,0,,Community testimony; Gram Sabha testimony; Legacy residence/cultivation record,,Not Applicable,,2.18,2.21,2.31,11.6,,,,,FRA-AP-001,2,D06BA2FEB4DC,322,229,854.4,2026-03-06,PDS convergence; PMAY-G; Tribal Livelihood Support
FRA-0000056,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-02,14.050014,79.975312,GEO-0000056,Individual,IFR,2026-07-15,Title Issued,2026-09-04,Approved,2026-08-01,2026-08-26,2026-09-04,2026-09-04,,Recommended,Recommended,0,,Government map; Forest record,,Not Applicable,,2.09,2.18,2.03,83.0,,,,,FRA-AP-001,3,320AB28EB61D,608,255,573.2,2026-09-04,PDS convergence; Tribal Livelihood Support
FRA-0000057,Andhra Pradesh,Alluri Sitharama Raju,FRA-AP-001-Village-11,14.161831,79.977087,GEO-0000057,Individual,IFR,2025-02-15,Title Issued,2025-11-02,Approved,2025-04-28,2025-05-21,2025-08-25,2025-09-19,,Recommended,Recommended,0,,Revenue record; Gram Sabha testimony; Government map,,Not Applicable,,1.19,1.28,1.19,89.2,,,,,FRA-AP-001,2,34EEDDCC6ACF,519,273,3078.8,2025-10-13,
